'seconds','uV','uV','uV','uV','uV',''
4.121,-106.502,12.700,6.500,-0.100,-2.100,0.500
4.122,-103.002,13.000,6.700,0.400,-1.800,0.500
4.123,-101.602,13.200,6.500,0.700,-1.600,0.500
4.124,-102.802,12.900,5.900,0.600,-1.400,0.500
4.125,-105.802,12.400,5.200,0.100,-1.200,0.500
4.126,-108.902,11.700,4.800,-0.500,-0.900,0.500
4.127,-110.902,11.200,4.700,-1.200,-0.700,0.500
4.128,-111.302,10.800,4.700,-1.900,-0.700,0.500
4.129,-110.402,10.600,4.500,-2.400,-0.900,0.500
4.130,-109.402,10.400,4.000,-2.500,-1.400,0.500
4.131,-108.802,10.100,3.400,-2.100,-1.900,0.500
4.132,-108.702,9.600,2.900,-1.400,-2.100,0.500
4.133,-108.502,9.100,2.800,-0.700,-2.000,0.500
4.134,-107.802,8.500,3.000,-0.300,-1.900,0.500
4.135,-106.502,7.800,3.400,-0.500,-1.800,0.500
4.136,-105.302,7.300,3.700,-1.000,-2.000,0.500
4.137,-104.902,7.000,3.800,-1.400,-2.300,0.500
4.138,-105.402,7.000,4.000,-1.400,-2.500,0.500
4.139,-106.602,7.200,4.200,-1.000,-2.600,0.500
4.140,-107.502,7.500,4.600,-0.400,-2.600,0.500
4.141,-107.802,7.700,4.800,0.100,-2.700,0.500
4.142,-107.502,7.700,4.700,0.100,-2.800,0.500
4.143,-107.102,7.500,4.000,-0.200,-3.100,0.500
4.144,-107.002,7.300,2.800,-0.700,-3.300,0.500
4.145,-107.202,7.100,1.400,-1.300,-3.500,0.500
4.146,-107.102,6.900,0.200,-1.700,-3.700,0.500
4.147,-106.002,6.700,-0.600,-2.000,-4.000,0.500
4.148,-104.002,6.500,-0.900,-2.400,-4.400,0.500
4.149,-101.902,6.300,-0.900,-2.800,-4.800,0.500
4.150,-100.902,6.500,-0.700,-3.200,-4.900,0.500
4.151,-101.502,7.200,-0.300,-3.700,-4.900,0.500
4.152,-103.302,8.100,0.000,-4.200,-4.500,0.500
4.153,-105.302,8.800,0.600,-4.600,-4.200,0.500
4.154,-106.002,9.100,1.100,-5.100,-3.900,0.500
4.155,-105.002,8.700,1.600,-5.300,-3.800,0.500
4.156,-102.902,7.900,1.800,-5.000,-3.700,0.500
4.157,-100.702,7.300,1.700,-4.300,-3.500,0.500
4.158,-99.802,7.400,1.300,-3.000,-3.000,0.500
4.159,-100.602,8.200,0.800,-1.700,-2.400,0.500
4.160,-102.502,9.600,0.400,-0.900,-1.900,0.500
4.161,-104.402,10.900,0.300,-0.800,-1.600,0.500
4.162,-105.502,11.600,0.600,-1.600,-1.800,0.500
4.163,-105.402,11.400,1.000,-2.900,-2.400,0.500
4.164,-104.502,10.500,1.400,-4.400,-3.200,0.500
4.165,-103.402,9.200,1.700,-5.600,-3.900,0.500
4.166,-102.702,7.900,1.700,-6.300,-4.300,0.500
4.167,-102.302,7.000,1.500,-6.600,-4.200,0.500
4.168,-102.202,6.400,1.200,-6.700,-3.700,0.500
4.169,-101.802,6.200,1.100,-6.800,-3.200,0.500
4.170,-101.002,6.300,1.100,-6.800,-2.800,0.500
4.171,-100.002,6.400,1.400,-6.500,-2.700,0.500
4.172,-99.002,6.600,1.900,-5.700,-2.900,0.500
4.173,-98.602,6.900,2.300,-4.300,-3.000,0.500
4.174,-99.202,7.200,2.700,-2.600,-2.900,0.500
4.175,-101.102,7.600,2.800,-1.000,-2.400,0.500
4.176,-103.802,8.200,2.600,0.100,-1.700,0.500
4.177,-106.402,8.900,2.400,0.400,-1.000,0.500
4.178,-107.702,9.700,2.200,0.200,-0.500,0.500
4.179,-107.102,10.500,2.000,-0.400,-0.400,0.500
4.180,-104.602,11.200,1.900,-0.700,-0.700,0.500
4.181,-101.502,11.800,1.700,-0.700,-1.200,0.500
4.182,-99.502,12.300,1.600,-0.200,-1.800,0.500
4.183,-99.502,12.800,1.300,0.400,-2.200,0.500
4.184,-101.402,13.300,1.200,1.000,-2.300,0.500
4.185,-104.202,14.000,1.000,1.300,-2.100,0.500
4.186,-106.602,14.800,1.000,1.200,-1.600,0.500
4.187,-107.602,15.600,1.100,1.200,-0.700,0.500
4.188,-107.402,16.400,1.400,1.300,0.500,0.500
4.189,-106.702,17.200,1.900,1.700,1.700,0.500
4.190,-106.102,17.500,2.500,2.200,2.600,0.500
4.191,-105.702,17.500,3.000,2.700,2.900,0.500
4.192,-105.102,16.900,3.100,2.800,2.400,0.500
4.193,-103.902,15.900,2.600,2.300,1.300,0.500
4.194,-102.302,14.900,1.600,1.300,-0.200,0.500
4.195,-101.002,14.000,0.400,0.300,-1.700,0.500
4.196,-100.702,13.400,-0.500,-0.400,-2.700,0.500
4.197,-101.602,13.200,-0.700,-0.400,-3.300,0.500
4.198,-103.102,13.100,-0.400,0.200,-3.600,0.500
4.199,-104.002,13.000,0.100,1.200,-3.700,0.500
4.200,-103.502,12.700,0.300,2.100,-3.900,0.500
4.201,-101.302,12.400,-0.100,2.600,-4.200,0.500
4.202,-98.201,12.100,-0.600,2.600,-4.500,0.500
4.203,-95.401,12.100,-0.900,2.300,-4.700,0.500
4.204,-94.101,12.300,-0.700,1.700,-4.800,0.500
4.205,-94.801,12.700,0.200,1.200,-4.700,0.500
4.206,-96.901,13.100,1.100,0.700,-4.600,0.500
4.207,-99.002,13.400,1.700,0.100,-4.500,0.500
4.208,-100.002,13.400,1.400,-0.500,-4.500,0.500
4.209,-99.402,12.900,0.300,-1.400,-4.600,0.500
4.210,-97.601,11.900,-1.100,-2.300,-4.700,0.500
4.211,-96.001,10.700,-2.300,-3.200,-4.800,0.500
4.212,-95.501,9.300,-2.700,-3.800,-4.600,0.500
4.213,-96.501,8.400,-2.400,-4.000,-4.000,0.500
4.214,-98.402,8.100,-1.400,-3.800,-3.400,0.500
4.215,-99.902,8.600,-0.200,-3.200,-2.700,0.500
4.216,-100.202,9.500,0.700,-2.500,-2.500,0.500
4.217,-99.202,10.600,1.200,-1.900,-2.800,0.500
4.218,-97.701,11.300,1.100,-1.300,-3.500,0.500
4.219,-96.601,11.500,0.700,-1.000,-4.500,0.500
4.220,-96.601,11.000,0.200,-0.700,-5.400,0.500
4.221,-97.701,10.300,-0.100,-0.700,-6.100,0.500
4.222,-99.002,9.600,0.000,-0.900,-6.300,0.500
4.223,-99.802,9.100,0.400,-1.200,-6.200,0.500
4.224,-99.402,9.100,0.900,-1.800,-6.000,0.500
4.225,-98.201,9.500,1.400,-2.400,-5.700,0.500
4.226,-96.601,10.100,1.700,-2.800,-5.400,0.500
4.227,-95.401,10.700,1.700,-2.800,-5.400,0.500
4.228,-94.901,11.000,1.600,-2.400,-5.400,0.500
4.229,-95.201,11.100,1.300,-1.600,-5.600,0.500
4.230,-95.301,11.000,0.800,-0.700,-5.800,0.500
4.231,-94.701,10.700,0.200,0.100,-5.900,0.500
4.232,-92.801,10.500,-0.400,0.700,-5.800,0.500
4.233,-90.001,10.500,-0.800,0.900,-5.400,0.500
4.234,-87.601,10.800,-0.700,1.000,-4.800,0.500
4.235,-86.901,11.300,-0.300,0.900,-4.100,0.500
4.236,-88.501,12.000,0.200,0.600,-3.500,0.500
4.237,-91.801,12.700,0.300,0.300,-3.100,0.500
4.238,-95.201,13.300,0.000,0.000,-3.100,0.500
4.239,-96.901,13.500,-0.800,-0.300,-3.300,0.500
4.240,-96.101,13.400,-1.600,-0.600,-3.500,0.500
4.241,-93.501,12.900,-2.000,-0.800,-3.500,0.500
4.242,-90.701,12.200,-1.800,-1.000,-3.300,0.500
4.243,-89.101,11.600,-1.300,-1.300,-3.000,0.500
4.244,-89.201,11.400,-0.800,-1.400,-2.700,0.500
4.245,-90.101,11.700,-0.600,-1.100,-2.400,0.500
4.246,-90.601,12.600,-0.500,-0.300,-2.100,0.500
4.247,-89.701,14.000,-0.200,1.300,-1.600,0.500
4.248,-87.901,15.600,0.800,3.600,-0.700,0.500
4.249,-86.201,17.200,2.600,6.400,0.600,0.500
4.250,-85.401,18.600,4.800,9.100,2.200,0.500
4.251,-86.001,19.700,7.000,11.500,3.900,0.500
4.252,-87.601,20.700,8.800,13.300,5.700,0.500
4.253,-89.301,21.600,10.200,14.500,7.600,0.500
4.254,-90.601,22.400,11.600,15.600,9.800,0.500
4.255,-91.401,23.000,13.400,16.800,12.200,0.500
4.256,-92.001,23.300,15.600,18.100,14.700,0.500
4.257,-92.501,23.000,18.100,19.600,17.100,0.500
4.258,-92.901,22.100,20.100,20.700,19.000,0.500
4.259,-92.901,20.500,21.200,21.400,20.400,0.500
4.260,-92.701,18.200,21.000,21.500,21.400,0.500
4.261,-92.401,15.300,19.900,21.200,22.400,0.500
4.262,-92.301,11.900,18.200,20.800,23.700,0.500
4.263,-92.801,8.000,16.800,20.400,25.700,0.500
4.264,-93.901,3.700,16.000,20.200,28.000,0.500
4.265,-95.201,-0.700,15.700,19.900,30.400,0.500
4.266,-96.301,-5.100,15.700,19.100,32.300,0.500
4.267,-97.001,-9.500,15.600,18.000,33.301,0.500
4.268,-97.401,-13.800,15.100,16.500,33.401,0.500
4.269,-97.801,-18.100,14.100,14.700,33.001,0.500
4.270,-98.502,-22.500,12.800,13.000,32.400,0.500
4.271,-99.602,-27.100,11.400,11.100,32.000,0.500
4.272,-100.702,-31.800,10.000,9.100,31.800,0.500
4.273,-101.302,-36.301,8.800,6.700,31.800,0.500
4.274,-101.002,-40.401,7.600,3.900,31.200,0.500
4.275,-99.902,-44.001,6.100,1.000,29.900,0.500
4.276,-98.602,-47.101,4.200,-1.800,27.700,0.500
4.277,-97.901,-49.701,1.900,-3.900,24.900,0.500
4.278,-98.502,-51.701,-0.700,-5.000,22.200,0.500
4.279,-100.502,-53.101,-3.200,-5.000,20.300,0.500
4.280,-102.902,-53.701,-5.000,-4.200,19.400,0.500
4.281,-104.902,-53.301,-6.000,-3.000,19.100,0.500
4.282,-105.302,-52.101,-6.200,-2.100,18.700,0.500
4.283,-104.102,-50.101,-6.100,-2.200,17.300,0.500
4.284,-102.002,-47.701,-6.200,-3.300,14.400,0.500
4.285,-100.102,-44.901,-6.900,-5.500,10.300,0.500
4.286,-99.202,-41.601,-8.000,-8.300,5.400,0.500
4.287,-99.702,-37.901,-9.100,-11.100,0.600,0.500
4.288,-101.102,-33.501,-9.900,-13.600,-3.900,0.500
4.289,-102.302,-28.800,-10.100,-15.800,-8.100,0.500
4.290,-102.402,-23.900,-10.000,-17.700,-12.300,0.500
4.291,-100.602,-19.200,-10.100,-19.400,-16.700,0.500
4.292,-97.301,-15.000,-10.600,-20.800,-21.100,0.500
4.293,-93.201,-11.400,-11.500,-21.900,-25.100,0.500
4.294,-89.701,-8.400,-12.500,-22.400,-28.100,0.500
4.295,-87.701,-5.900,-13.200,-22.100,-29.800,0.500
4.296,-87.801,-3.900,-13.500,-21.200,-30.400,0.500
4.297,-89.701,-2.400,-13.300,-20.000,-30.000,0.500
4.298,-92.701,-1.100,-12.700,-19.000,-29.200,0.500
4.299,-95.601,0.000,-11.900,-18.500,-28.100,0.500
4.300,-97.601,1.200,-10.900,-18.700,-27.100,0.500
4.301,-98.001,2.700,-9.800,-19.300,-26.400,0.500
4.302,-96.801,4.300,-8.900,-20.000,-26.000,0.500
4.303,-94.701,5.800,-8.300,-20.400,-25.900,0.500
4.304,-92.401,6.900,-8.400,-20.100,-25.800,0.500
4.305,-91.101,7.600,-9.400,-19.100,-25.500,0.500
4.306,-91.201,7.700,-11.100,-17.700,-24.900,0.500
4.307,-92.601,7.700,-12.900,-16.100,-23.700,0.500
4.308,-94.601,7.600,-14.200,-14.700,-22.200,0.500
4.309,-96.301,7.500,-14.500,-13.600,-20.600,0.500
4.310,-96.801,7.600,-13.800,-12.800,-19.000,0.500
4.311,-96.201,7.900,-12.400,-12.100,-17.800,0.500
4.312,-94.901,8.300,-10.900,-11.500,-16.900,0.500
4.313,-93.601,8.700,-9.900,-10.900,-16.400,0.500
4.314,-92.801,8.900,-9.700,-10.500,-16.100,0.500
4.315,-92.701,8.900,-10.100,-10.100,-15.800,0.500
4.316,-93.201,8.500,-10.500,-9.600,-15.000,0.500
4.317,-93.801,8.100,-10.500,-8.800,-13.700,0.500
4.318,-94.501,7.800,-9.700,-7.400,-11.800,0.500
4.319,-95.101,7.900,-8.200,-5.700,-9.400,0.500
4.320,-95.501,8.600,-6.400,-3.800,-7.100,0.500
4.321,-95.601,9.700,-4.900,-2.300,-5.200,0.500
4.322,-95.201,10.900,-3.900,-1.300,-3.900,0.500
4.323,-94.101,11.800,-3.200,-0.800,-3.200,0.500
4.324,-92.601,12.600,-2.600,-0.300,-2.800,0.500
4.325,-91.101,13.100,-1.600,0.400,-2.500,0.500
4.326,-90.001,13.700,-0.300,1.500,-2.100,0.500
4.327,-89.501,14.300,0.700,2.900,-1.600,0.500
4.328,-89.701,14.700,1.000,3.900,-1.200,0.500
4.329,-90.401,14.700,0.400,4.200,-1.100,0.500
4.330,-91.401,13.900,-1.000,3.700,-1.400,0.500
4.331,-92.401,12.400,-2.500,2.800,-2.100,0.500
4.332,-93.101,10.500,-3.500,1.800,-3.100,0.500
4.333,-93.401,8.700,-3.500,1.200,-4.000,0.500
4.334,-93.201,7.500,-2.700,0.900,-4.800,0.500
4.335,-92.801,6.900,-1.700,0.900,-5.400,0.500
4.336,-92.501,6.900,-1.000,0.800,-5.900,0.500
4.337,-92.601,6.900,-1.300,0.600,-6.400,0.500
4.338,-93.101,6.500,-2.700,0.200,-7.100,0.500
4.339,-93.701,5.700,-4.700,-0.100,-7.900,0.500
4.340,-93.601,4.700,-6.800,-0.200,-8.500,0.500
4.341,-92.601,3.800,-8.300,0.000,-8.700,0.500
4.342,-90.501,3.600,-8.800,0.100,-8.600,0.500
4.343,-88.001,4.000,-8.200,0.000,-8.200,0.500
4.344,-85.801,4.700,-6.900,-0.400,-7.900,0.500
4.345,-84.701,5.400,-5.300,-1.100,-7.900,0.500
4.346,-85.101,5.800,-4.100,-1.600,-8.300,0.500
4.347,-86.901,5.600,-3.500,-1.700,-8.800,0.500
4.348,-89.401,5.200,-3.700,-1.300,-9.000,0.500
4.349,-91.901,4.700,-4.300,-0.700,-8.700,0.500
4.350,-93.501,4.500,-5.100,-0.300,-8.100,0.500
4.351,-93.901,4.400,-5.700,-0.400,-7.600,0.500
4.352,-93.101,4.200,-5.900,-1.100,-7.500,0.500
4.353,-91.701,4.000,-5.700,-2.100,-7.700,0.500
4.354,-90.201,3.700,-5.300,-2.900,-8.000,0.500
4.355,-89.101,3.800,-4.800,-3.100,-7.900,0.500
4.356,-88.401,4.300,-4.200,-2.500,-7.300,0.500
4.357,-88.001,5.200,-3.300,-1.400,-6.300,0.500
4.358,-87.301,6.200,-2.200,-0.100,-5.300,0.500
4.359,-86.401,6.900,-1.000,1.000,-4.800,0.500
4.360,-85.401,7.100,0.000,1.500,-5.000,0.500
4.361,-84.901,6.600,0.500,1.500,-5.500,0.500
4.362,-85.301,5.900,0.300,1.300,-6.100,0.500
4.363,-86.401,5.300,-0.400,1.000,-6.300,0.500
4.364,-87.601,4.900,-1.100,0.700,-6.000,0.500
4.365,-88.401,4.800,-1.800,0.700,-5.500,0.500
4.366,-88.101,4.900,-2.200,0.600,-4.900,0.500
4.367,-87.101,4.900,-2.600,0.500,-4.600,0.500
4.368,-86.101,4.900,-3.000,0.200,-4.600,0.500
4.369,-85.801,4.900,-3.500,-0.200,-4.900,0.500
4.370,-86.701,4.900,-3.900,-0.500,-5.200,0.500
4.371,-88.401,4.800,-4.000,-0.700,-5.200,0.500
4.372,-89.901,4.800,-3.600,-0.800,-4.700,0.500
4.373,-90.301,4.800,-2.600,-0.500,-3.500,0.500
4.374,-88.801,4.900,-1.100,0.000,-1.700,0.500
4.375,-85.501,5.300,0.600,0.700,0.500,0.500
4.376,-80.701,5.900,2.400,1.800,2.800,0.500
4.377,-75.101,6.800,4.200,3.000,5.000,0.500
4.378,-69.201,7.700,6.100,4.300,7.000,0.500
4.379,-63.101,8.700,8.300,5.700,9.000,0.500
4.380,-56.601,9.900,10.900,7.500,11.400,0.500
4.381,-49.301,11.500,14.200,9.800,14.700,0.500
4.382,-40.901,13.600,18.100,12.600,19.000,0.500
4.383,-31.600,16.300,22.500,15.700,24.100,0.500
4.384,-21.700,19.500,26.900,18.400,29.100,0.500
4.385,-11.900,22.500,30.600,20.200,32.901,0.500
4.386,-3.400,24.800,32.801,20.300,34.901,0.500
4.387,2.500,25.800,32.901,18.800,34.501,0.500
4.388,4.600,25.400,31.100,16.200,32.200,0.500
4.389,2.300,23.800,27.600,13.400,28.500,0.500
4.390,-4.400,21.500,23.200,11.200,24.200,0.500
4.391,-14.400,19.000,18.700,9.800,19.700,0.500
4.392,-26.200,16.800,14.400,8.900,15.200,0.500
4.393,-38.801,14.800,10.400,7.900,10.600,0.500
4.394,-51.801,13.000,6.600,6.000,5.700,0.500
4.395,-65.101,11.000,3.000,3.300,0.800,0.500
4.396,-78.901,8.700,-0.300,0.100,-3.900,0.500
4.397,-93.001,6.300,-3.000,-2.700,-7.800,0.500
4.398,-106.202,4.000,-4.700,-4.700,-10.500,0.500
4.399,-117.002,2.300,-5.400,-5.500,-11.900,0.500
4.400,-124.302,1.400,-5.200,-5.500,-11.800,0.500
4.401,-127.802,1.300,-4.400,-4.900,-10.600,0.500
4.402,-128.202,1.700,-3.500,-4.200,-8.600,0.500
4.403,-126.602,2.200,-2.500,-3.400,-6.300,0.500
4.404,-124.202,2.700,-1.600,-2.400,-4.000,0.500
4.405,-121.502,3.000,-0.700,-1.000,-1.800,0.500
4.406,-118.502,3.200,0.100,0.600,0.100,0.500
4.407,-114.802,3.400,0.800,2.100,1.600,0.500
4.408,-109.902,3.900,1.200,3.200,2.800,0.500
4.409,-103.802,4.600,1.200,3.600,3.700,0.500
4.410,-96.801,5.300,0.700,3.300,4.100,0.500
4.411,-90.101,5.600,0.100,2.500,4.100,0.500
4.412,-85.001,5.400,-0.500,1.700,3.800,0.500
4.413,-82.301,4.500,-0.800,1.000,3.500,0.500
4.414,-81.701,3.200,-0.600,0.900,3.500,0.500
4.415,-82.201,2.100,0.000,1.200,4.000,0.500
4.416,-82.101,1.500,1.000,1.900,4.900,0.500
4.417,-80.401,2.000,2.200,2.800,5.900,0.500
4.418,-77.501,3.300,3.300,3.600,6.600,0.500
4.419,-74.901,5.000,4.300,3.900,6.500,0.500
4.420,-74.301,6.300,4.900,3.600,5.700,0.500
4.421,-76.601,6.700,5.200,2.700,4.400,0.500
4.422,-80.601,6.300,5.400,1.700,3.200,0.500
4.423,-83.801,5.300,5.700,1.000,2.700,0.500
4.424,-84.201,4.400,6.200,0.800,3.000,0.500
4.425,-81.301,3.800,6.900,1.400,4.000,0.500
4.426,-76.601,3.600,7.500,2.300,5.200,0.500
4.427,-72.801,3.400,7.400,3.200,5.900,0.500
4.428,-72.101,3.000,6.400,3.700,6.100,0.500
4.429,-74.601,2.300,4.600,3.600,5.700,0.500
4.430,-78.501,1.400,2.600,3.200,5.000,0.500
4.431,-81.701,0.400,1.000,2.600,4.600,0.500
4.432,-82.701,-0.300,0.400,2.200,4.500,0.500
4.433,-81.901,-0.700,0.700,2.100,4.600,0.500
4.434,-80.501,-0.900,1.400,2.000,5.000,0.500
4.435,-80.001,-0.900,1.800,1.900,5.400,0.500
4.436,-80.401,-0.700,1.500,1.800,5.900,0.500
4.437,-80.801,-0.200,0.500,1.800,6.600,0.500
4.438,-80.301,0.700,-0.500,2.100,7.500,0.500
4.439,-78.501,1.600,-0.700,2.800,8.500,0.500
4.440,-76.401,2.600,0.400,3.800,9.500,0.500
4.441,-75.201,3.400,2.500,4.700,10.200,0.500
4.442,-75.801,3.900,4.900,5.200,10.700,0.500
4.443,-77.601,4.200,6.900,5.200,10.900,0.500
4.444,-79.101,4.300,8.000,4.900,11.200,0.500
4.445,-79.001,4.300,8.400,4.400,11.500,0.500
4.446,-77.101,4.200,8.400,4.100,12.000,0.500
4.447,-74.201,4.000,8.400,4.000,12.300,0.500
4.448,-72.101,3.700,8.400,4.100,12.300,0.500
4.449,-72.101,3.200,8.100,4.200,11.900,0.500
4.450,-74.101,2.700,7.300,4.100,11.000,0.500
4.451,-77.001,1.900,5.800,3.800,10.000,0.500
4.452,-79.201,0.800,3.700,3.400,9.000,0.500
4.453,-80.001,-0.500,1.600,3.000,8.500,0.500
4.454,-79.601,-1.800,0.100,2.800,8.400,0.500
4.455,-79.201,-2.800,-0.700,2.900,8.600,0.500
4.456,-79.401,-3.500,-0.700,3.200,9.000,0.500
4.457,-79.801,-3.500,-0.300,3.600,9.200,0.500
4.458,-79.601,-3.300,0.100,3.800,9.000,0.500
4.459,-77.801,-3.100,0.100,3.900,8.600,0.500
4.460,-74.601,-3.100,-0.400,3.600,7.900,0.500
4.461,-71.301,-3.600,-1.400,3.100,7.400,0.500
4.462,-69.601,-4.500,-2.600,2.600,7.300,0.500
4.463,-70.401,-5.400,-3.700,2.300,7.600,0.500
4.464,-73.001,-6.100,-4.500,2.300,8.300,0.500
4.465,-75.701,-6.400,-4.800,2.600,9.100,0.500
4.466,-77.001,-6.300,-4.700,3.000,9.700,0.500
4.467,-76.201,-5.800,-4.100,3.400,10.000,0.500
4.468,-74.401,-5.300,-3.300,3.500,10.200,0.500
4.469,-73.301,-5.100,-2.400,3.600,10.300,0.500
4.470,-73.801,-5.300,-1.700,3.500,10.600,0.500
4.471,-75.901,-5.900,-1.300,3.600,11.200,0.500
4.472,-78.201,-6.900,-1.200,3.900,11.900,0.500
4.473,-79.501,-7.800,-1.400,4.200,12.500,0.500
4.474,-79.301,-8.300,-1.600,4.400,12.900,0.500
4.475,-78.201,-8.300,-1.400,4.400,13.200,0.500
4.476,-77.201,-7.700,-0.900,4.200,13.500,0.500
4.477,-76.701,-6.900,0.100,4.000,13.900,0.500
4.478,-76.501,-6.200,1.000,3.800,14.300,0.500
4.479,-76.201,-5.700,1.600,3.800,14.600,0.500
4.480,-75.501,-5.600,1.500,3.900,14.600,0.500
4.481,-74.801,-5.700,0.700,3.900,14.400,0.500
4.482,-74.601,-5.900,-0.300,3.800,14.300,0.500
4.483,-75.101,-6.100,-1.200,3.900,14.600,0.500
4.484,-76.001,-6.200,-1.600,4.100,15.400,0.500
4.485,-76.301,-6.300,-1.700,4.500,16.300,0.500
4.486,-75.601,-6.400,-1.700,5.200,17.000,0.500
4.487,-74.201,-6.800,-2.100,6.000,17.000,0.500
4.488,-73.001,-7.300,-3.000,6.500,16.500,0.500
4.489,-73.001,-7.800,-4.000,6.700,15.700,0.500
4.490,-74.201,-8.300,-4.800,6.700,15.100,0.500
4.491,-76.001,-8.400,-5.000,6.700,15.200,0.500
4.492,-77.001,-8.300,-4.600,6.600,15.700,0.500
4.493,-76.501,-8.000,-4.000,6.700,16.500,0.500
4.494,-74.601,-7.700,-3.800,6.700,17.100,0.500
4.495,-72.001,-7.500,-4.000,6.400,17.100,0.500
4.496,-69.701,-7.600,-4.600,5.800,16.500,0.500
4.497,-68.501,-8.000,-5.200,4.700,15.600,0.500
4.498,-68.501,-8.600,-5.500,3.500,14.700,0.500
4.499,-69.701,-9.400,-5.500,2.300,14.000,0.500
4.500,-71.601,-10.400,-5.600,1.600,13.800,0.500
4.501,-73.901,-11.500,-5.900,1.400,14.000,0.500
4.502,-76.001,-12.500,-6.300,1.500,14.500,0.500
4.503,-77.101,-13.200,-6.200,2.000,15.100,0.500
4.504,-76.901,-13.500,-5.400,2.300,15.500,0.500
4.505,-75.301,-13.500,-3.800,2.500,15.700,0.500
4.506,-73.001,-13.200,-2.000,2.600,15.500,0.500
4.507,-70.901,-13.000,-0.700,2.700,15.000,0.500
4.508,-69.901,-13.200,-0.300,3.000,14.500,0.500
4.509,-70.101,-13.900,-0.600,3.700,14.300,0.500
4.510,-71.201,-14.700,-0.900,4.600,14.700,0.500
4.511,-72.501,-15.300,-0.800,5.500,15.600,0.500
4.512,-73.401,-15.500,-0.100,6.100,16.900,0.500
4.513,-73.601,-15.100,0.800,6.000,17.900,0.500
4.514,-73.301,-14.600,0.900,5.400,18.400,0.500
4.515,-72.401,-14.100,0.100,4.300,18.000,0.500
4.516,-71.001,-14.100,-1.700,3.400,17.000,0.500
4.517,-69.101,-14.400,-3.500,2.700,15.700,0.500
4.518,-67.001,-14.700,-4.600,2.700,14.600,0.500
4.519,-65.201,-14.600,-4.600,3.100,14.100,0.500
4.520,-64.301,-13.900,-3.700,3.900,14.100,0.500
4.521,-64.401,-12.700,-2.700,4.800,14.500,0.500
4.522,-65.301,-11.300,-2.200,5.600,14.800,0.500
4.523,-66.001,-10.300,-2.600,6.300,14.900,0.500
4.524,-65.901,-9.800,-3.500,6.700,14.700,0.500
4.525,-64.701,-9.900,-4.400,6.900,14.200,0.500
4.526,-63.001,-10.300,-4.900,6.800,13.500,0.500
4.527,-61.601,-10.800,-4.900,6.300,12.600,0.500
4.528,-61.301,-11.100,-4.700,5.700,11.800,0.500
4.529,-62.001,-11.100,-4.700,4.900,10.900,0.500
4.530,-63.101,-10.800,-5.100,4.300,10.400,0.500
4.531,-63.701,-10.200,-5.600,3.900,10.100,0.500
4.532,-63.201,-9.600,-6.200,3.900,10.200,0.500
4.533,-61.901,-9.100,-6.600,4.000,10.500,0.500
4.534,-60.601,-8.800,-6.600,4.000,10.800,0.500
4.535,-60.501,-8.600,-6.400,4.000,11.000,0.500
4.536,-62.101,-8.300,-5.900,4.100,11.000,0.500
4.537,-64.801,-7.600,-5.300,4.400,10.900,0.500
4.538,-67.401,-6.500,-4.500,5.100,10.700,0.500
4.539,-68.501,-5.100,-3.800,5.900,10.300,0.500
4.540,-67.801,-3.500,-3.300,6.600,9.800,0.500
4.541,-65.801,-2.300,-3.100,6.700,9.200,0.500
4.542,-64.101,-1.500,-3.300,6.100,8.800,0.500
4.543,-63.801,-1.200,-3.500,5.100,8.900,0.500
4.544,-65.201,-0.900,-3.400,4.200,9.500,0.500
4.545,-67.301,-0.400,-2.900,3.800,10.100,0.500
4.546,-68.701,0.400,-2.100,4.000,10.400,0.500
4.547,-68.201,1.100,-1.600,4.300,9.800,0.500
4.548,-66.001,1.200,-1.500,4.400,8.200,0.500
4.549,-63.401,0.500,-1.800,4.000,6.200,0.500
4.550,-62.101,-0.700,-2.100,3.300,4.300,0.500
4.551,-63.001,-1.800,-1.900,2.900,3.200,0.500
4.552,-65.701,-2.100,-0.600,3.100,3.100,0.500
4.553,-68.901,-1.300,1.500,3.900,3.500,0.500
4.554,-71.101,0.200,3.600,4.900,4.000,0.500
4.555,-71.301,1.500,5.100,5.700,4.100,0.500
4.556,-69.901,1.900,5.500,5.700,3.600,0.500
4.557,-68.101,1.500,5.100,5.200,2.800,0.500
4.558,-66.801,0.600,4.500,4.500,2.100,0.500
4.559,-66.501,0.100,4.400,4.000,1.800,0.500
4.560,-66.901,0.500,4.800,4.000,1.700,0.500
4.561,-67.401,1.800,5.400,4.200,1.600,0.500
4.562,-67.401,3.300,5.600,4.300,1.400,0.500
4.563,-67.001,4.400,5.100,4.100,1.000,0.500
4.564,-66.701,4.800,4.100,3.400,0.500,0.500
4.565,-66.701,4.700,3.000,2.700,0.400,0.500
4.566,-67.101,4.700,2.400,2.300,0.800,0.500
4.567,-67.801,5.100,2.700,2.500,1.900,0.500
4.568,-68.401,6.300,3.700,3.600,3.300,0.500
4.569,-68.601,7.900,4.900,5.000,4.600,0.500
4.570,-68.101,9.400,5.800,6.500,5.200,0.500
4.571,-66.801,10.400,6.000,7.300,4.900,0.500
4.572,-65.001,10.800,5.600,7.300,3.700,0.500
4.573,-63.301,10.800,4.700,6.500,2.100,0.500
4.574,-62.601,10.600,3.500,5.300,0.500,0.500
4.575,-63.301,10.300,2.200,4.300,-0.600,0.500
4.576,-65.501,9.900,1.000,3.600,-1.200,0.500
